[22:54:15] 28800 frames at 1920x1080
[22:54:15] tile 224px (resized to 224 for the model), stride 112, 153 tiles/frame
[23:37:55] 007209.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:55] 007210.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:56] 007211.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:56] 007212.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:56] 007213.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:38:27]   7300/28800 frames, 2.8 fps, ~130.2 min left
[23:39:03]   7400/28800 frames, 2.8 fps, ~129.6 min left
[23:39:39]   7500/28800 frames, 2.8 fps, ~128.9 min left
[23:40:15]   7600/28800 frames, 2.8 fps, ~128.3 min left
[23:40:51]   7700/28800 frames, 2.8 fps, ~127.7 min left
[23:41:26]   7800/28800 frames, 2.8 fps, ~127.1 min left
[23:42:02]   7900/28800 frames, 2.8 fps, ~126.4 min left
[23:42:07] 007914.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:42:08] 007915.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:08] 007916.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:09] 007917.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:09] 007918.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:10] 007919.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:10] 007920.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:10] 007921.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:11] 007922.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:42:11] 007923.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.997)
[23:42:12] 007924.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:42:12] 007925.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:12] 007926.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:13] 007927.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:13] 007928.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:14] 007929.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
